Price_per_Credit,Total_Credits_Supplied,Number_of_Suppliers,Total_Surplus,Total_Payments
500.0,0.0,0,0.0,0.0
684.2105263157895,0.0,0,0.0,0.0
868.421052631579,0.0,0,0.0,0.0
1052.6315789473683,2.83,1,431.95,3113.0
1236.842105263158,8.37,3,1711.37,10881.0
1421.0526315789475,29.0,6,4536.53,43500.0
1605.2631578947369,55.5,12,11510.11,94350.0
1789.4736842105262,74.28,16,23414.11,133704.0
1973.6842105263158,102.00999999999998,23,40313.53,204020.0
2157.8947368421054,133.10999999999999,29,63147.37,292842.0
2342.105263157895,181.28,40,92633.84,435072.0
2526.315789473684,189.54000000000002,43,126667.89,492804.0
2710.5263157894738,217.29000000000005,47,162409.26,608412.0
2894.7368421052633,236.65,50,204270.47,686285.0
3078.9473684210525,279.45000000000005,57,254734.84,866295.0
3263.157894736842,300.99,61,308879.89,993267.0
3447.3684210526317,328.37000000000006,68,366160.37,1149295.0
3631.5789473684213,343.3,72,427392.05,1270210.0
3815.789473684211,371.84000000000003,76,491973.16,1450176.0
4000.0,375.79999999999995,78,560798.0,1540780.0
