alpha,beta,n_farmers_analyzed,seed,buyer_demand,market_price_per_credit,mechanism_name,avg_farmer_profit,gini_coefficient,ir_met_overall,ir_met_percentage,num_winners,buyer_cost,total_surplus,is_in_core,core_check_performed,is_in_core_numeric
1.0,0.0,250,24004,15,1000.0,VCG Auction,90.728,0.9842638215324927,False,0.0,5,22682.0,3131.0,,False,
1.0,0.0,250,24004,15,1000.0,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,1000.0,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,1262.5,VCG Auction,252.46,0.9591307929969104,False,0.0,13,63115.0,11653.38,,False,
1.0,0.0,250,24004,15,1262.5,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,1262.5,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,1525.0,VCG Auction,871.616,0.913759600558044,False,0.0,30,217904.0,34655.75,,False,
1.0,0.0,250,24004,15,1525.0,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,1525.0,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,1787.5,VCG Auction,1427.976,0.8708610901023547,False,0.0,44,356994.0,78064.88,,False,
1.0,0.0,250,24004,15,1787.5,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,1787.5,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,2050.0,VCG Auction,2832.564,0.7865070430888764,False,2.0,74,708141.0,151158.5,,False,
1.0,0.0,250,24004,15,2050.0,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,2050.0,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,2312.5,VCG Auction,4148.832,0.7220298493648333,False,3.5999999999999996,98,1037208.0,251186.12,,False,
1.0,0.0,250,24004,15,2312.5,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,2312.5,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,2575.0,VCG Auction,4824.04,0.7026080845100787,False,6.4,105,1206010.0,369450.75,,False,
1.0,0.0,250,24004,15,2575.0,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,2575.0,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,2837.5,VCG Auction,6879.96,0.633435306019221,False,11.200000000000001,131,1719990.0,507408.25,,False,
1.0,0.0,250,24004,15,2837.5,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,2837.5,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
1.0,0.0,250,24004,15,3100.0,VCG Auction,9073.664,0.5788713463491705,False,16.400000000000002,153,2268416.0,679282.0,,False,
1.0,0.0,250,24004,15,3100.0,Uniform Price Auction,51.264,0.9906741573033708,False,0.0,3,12816.0,,,False,
1.0,0.0,250,24004,15,3100.0,Shapley Allocation,19942.4,0.1404589216944801,True,100.0,250,,4985600.0,,False,
