Farmer_ID,Farm_Size_ha,Land_Tenure_Type,Farmer_Age,Education_Level,Gender,Potential_Carbon_Credits_tCO2e,Standalone_Payoff_INR,True_Cost_per_Credit_INR,Certification_Cost_Individual_INR,Debt_Status,Water_Usage_m3,Soil_Organic_Carbon_t_per_ha,Crop_Type,Crop_Yield_t_per_ha,Market_Access,Economic_Vulnerability_Score,Previous_Coalition_Experience,Farm_Location_State,Farm_Location_District,Risk_Aversion_Coeff
F00001,3.36,Leased,58,Primary,Male,3.1,14600.0,4400.0,8300.0,No,2829.53,0.96,Millets,4.72,Moderate,25.04,No,Kerala,6,2.25
F00002,1.16,Leased,68,Primary,Female,2.86,20300.0,2300.0,6400.0,Yes,3589.33,2.18,Rice,2.99,Easy,23.71,Yes,Andhra Pradesh,15,3.44
F00003,5.0,Owned,52,Higher,Female,2.15,22200.0,5800.0,6400.0,No,2646.56,2.16,Rice,3.45,Moderate,33.84,Yes,Karnataka,6,3.16
F00004,3.75,Mixed,70,None,Female,5.96,12700.0,5700.0,7200.0,Yes,1087.29,0.63,Rice,4.95,Moderate,45.74,Yes,Karnataka,31,2.25
F00005,1.43,Mixed,33,Higher,Male,5.1,19900.0,2000.0,4000.0,No,2273.31,0.82,Rice,7.77,Moderate,29.79,No,Karnataka,34,1.85
F00006,3.41,Owned,21,Higher,Male,8.9,15000.0,2000.0,8900.0,No,4197.43,2.42,Rice,4.6,Moderate,33.23,No,Karnataka,10,1.82
F00007,4.33,Owned,40,Secondary,Male,3.53,13600.0,1800.0,6100.0,No,1956.08,1.75,Rice,6.24,Easy,45.12,Yes,Telangana,8,0.15
F00008,2.29,Mixed,30,Primary,Male,3.51,21800.0,1100.0,4400.0,No,329.73,2.09,Cotton,3.76,Moderate,27.42,Yes,Karnataka,29,3.07
F00009,1.65,Leased,39,Secondary,Female,5.16,22000.0,1200.0,4700.0,No,3461.67,0.58,Maize,6.0,Difficult,39.89,Yes,Karnataka,37,1.61
F00010,0.73,Owned,42,Primary,Male,5.28,16000.0,1700.0,7700.0,Yes,1987.22,1.7,Maize,5.74,Moderate,55.55,No,Kerala,42,4.19
F00011,1.53,Owned,32,Higher,Male,2.87,21400.0,2800.0,5700.0,No,3534.15,2.9,Rice,3.47,Moderate,11.33,Yes,Tamil Nadu,16,2.36
F00012,2.15,Owned,22,None,Male,2.24,24200.0,4700.0,6200.0,Yes,7957.9,1.91,Millets,6.11,Moderate,25.06,No,Andhra Pradesh,29,2.16
F00013,1.56,Owned,46,Primary,Male,9.98,24900.0,2400.0,6400.0,No,558.22,2.26,Sugarcane,4.26,Easy,39.19,No,Andhra Pradesh,20,0.28
F00014,4.49,Mixed,28,Primary,Male,6.36,15500.0,3100.0,4400.0,Yes,2876.81,1.56,Rice,3.64,Moderate,7.75,No,Telangana,14,1.64
F00015,2.06,Owned,61,None,Male,1.97,29300.0,2000.0,5200.0,Yes,2736.83,2.31,Maize,5.87,Difficult,2.56,Yes,Andhra Pradesh,37,3.63
F00016,1.42,Owned,23,Higher,Female,6.46,22400.0,3800.0,6400.0,Yes,4074.59,0.78,Maize,3.45,Moderate,20.45,No,Telangana,18,1.51
