delta_commission,alpha0,beta0,C_fixed,C_var,avg_farmer_payoff,avg_abs_gain,avg_pct_gain,gini_coefficient,ir_met_percentage,aggregator_profit_piA,total_farmer_value_vfN,V_potential_N,C_A_N,is_in_core
0.0,1.25,0.0,10000,300,24588.0,4645.6,23.157723833009612,0.1424358176671547,100.0,0.0,6147000.0,6232000.0,85000,Not Checked
0.05,1.25,0.0,10000,300,23358.6,3416.2,17.002990364208884,0.14239578884008458,100.0,307350.0,5839650.0,6232000.0,85000,Not Checked
0.1,1.25,0.0,10000,300,22129.2,2186.8,10.844625711239475,0.14235932646819585,100.0,614700.0,5532300.0,6232000.0,85000,Not Checked
0.15000000000000002,1.25,0.0,10000,300,20899.8,957.4,4.686600842679226,0.14236436294127217,100.0,922050.0000000001,5224950.0,6232000.0,85000,Not Checked
0.2,1.25,0.0,10000,300,19670.4,-272.0,-1.4726781526122,0.14240497865625507,0.0,1229400.0,4917600.0,6232000.0,85000,Not Checked
0.25,1.25,0.0,10000,300,18441.0,-1501.4,-7.629151991148895,0.14238356811452743,0.0,1536750.0,4610250.0,6232000.0,85000,Not Checked
0.30000000000000004,1.25,0.0,10000,300,17211.6,-2730.8,-13.788833095624545,0.1424445121197332,0.0,1844100.0000000002,4302900.0,6232000.0,85000,Not Checked
0.35000000000000003,1.25,0.0,10000,300,15982.2,-3960.1999999999994,-19.945538736189388,0.14237716007808685,0.0,2151450.0,3995549.9999999995,6232000.0,85000,Not Checked
0.4,1.25,0.0,10000,300,14752.8,-5189.6,-26.105522209494843,0.1424295809012526,0.0,2458800.0,3688200.0,6232000.0,85000,Not Checked
0.45,1.25,0.0,10000,300,13523.4,-6419.0,-32.2639225329214,0.1424368362778591,0.0,2766150.0,3380850.0000000005,6232000.0,85000,Not Checked
0.5,1.25,0.0,10000,300,12294.0,-7648.4,-38.423450482917495,0.14248084317553278,0.0,3073500.0,3073500.0,6232000.0,85000,Not Checked
